"Date","Year","Month","Day","Temp.deg.C","Total.Rain.mm","Total.Precip.mm"
"1966-04-11",1966,"Apr",11,2,3,4.3
"1966-04-12",1966,"Apr",12,3.6,3,3
"1966-04-13",1966,"Apr",13,2,21.6,21.6
"1966-04-14",1966,"Apr",14,6.1,3.8,3.8
"1966-04-15",1966,"Apr",15,8.1,0,0
"1966-04-16",1966,"Apr",16,7.8,0,0
"1966-04-17",1966,"Apr",17,8.9,0,0
"1966-04-18",1966,"Apr",18,9.5,0,0
"1966-04-19",1966,"Apr",19,9.5,5.1,5.1
"1966-04-20",1966,"Apr",20,6.1,5.6,5.6
"1966-04-21",1966,"Apr",21,7,1.5,1.5
"1966-04-22",1966,"Apr",22,8.4,0,0
"1966-04-23",1966,"Apr",23,8.7,0,0
"1966-04-24",1966,"Apr",24,8.9,3.3,3.3
"1966-04-25",1966,"Apr",25,6.7,2.3,2.3
"1966-04-26",1966,"Apr",26,7.2,0,0
"1966-04-27",1966,"Apr",27,6.7,0,0
"1966-04-28",1966,"Apr",28,8.6,0.3,0.3
"1966-04-29",1966,"Apr",29,7.5,2,2
"1966-04-30",1966,"Apr",30,8.9,2.8,2.8
"1966-05-01",1966,"May",1,11.1,0,0
"1966-05-02",1966,"May",2,14.7,0,0
"1966-05-03",1966,"May",3,15.3,0,0
"1966-05-04",1966,"May",4,16.4,0,0
"1966-05-05",1966,"May",5,19.7,0.5,0.5
"1966-05-06",1966,"May",6,10.6,33.3,33.3
"1966-05-07",1966,"May",7,12.8,0,0
"1966-05-08",1966,"May",8,15,0,0
"1966-05-09",1966,"May",9,14.8,0,0
"1966-05-10",1966,"May",10,10,0,0
"1966-05-11",1966,"May",11,12.5,2.3,2.3
"1966-05-12",1966,"May",12,10,0,0
"1966-05-13",1966,"May",13,7,1.5,1.5
"1966-05-14",1966,"May",14,5.3,13.5,13.5
"1966-05-15",1966,"May",15,6.1,11.4,11.4
"1966-05-16",1966,"May",16,7.8,0,0
"1966-05-17",1966,"May",17,8.9,0,0
"1966-05-18",1966,"May",18,12,0,0
